user-count, latency
100, 7
100, 6
100, 6
100, 5
100, 5
100, 7
100, 8
100, 8
100, 4
100, 4
100, 5
100, 5
100, 5
100, 6
100, 6
100, 4
100, 5
100, 5
100, 5
100, 5
100, 4
100, 6
100, 3
100, 4
100, 3
100, 4
100, 5
100, 5
100, 5
100, 5
100, 5
100, 5
100, 6
100, 3
100, 3
100, 3
100, 7
100, 6
100, 6
100, 5
100, 6
100, 5
100, 4
100, 3
100, 2
100, 4
100, 4
100, 4
100, 5
100, 5
100, 5
100, 5
100, 5
100, 3
100, 4
100, 4
100, 4
100, 4
100, 4
100, 4
100, 4
100, 4
100, 4
100, 4
100, 3
100, 3
100, 2
100, 3
100, 3
100, 4
100, 5
100, 4
100, 5
100, 4
100, 4
100, 3
100, 4
100, 2
100, 3
100, 4
100, 4
100, 4
100, 4
100, 5
100, 5
100, 4
100, 4
100, 4
100, 2
100, 2
100, 2
100, 5
100, 5
100, 5
100, 5
100, 5
100, 5
100, 3
100, 4
100, 2
100, 6
100, 5
100, 5
100, 5
100, 5
100, 4
100, 4
100, 4
100, 3
100, 3
100, 7
100, 7
100, 6
100, 6
100, 6
100, 5
100, 5
100, 5
100, 4
100, 4
100, 7
100, 8
100, 7
100, 8
100, 7
100, 6
100, 6
100, 6
100, 5
100, 5
100, 5
100, 8
100, 8
100, 8
100, 8
100, 9
100, 6
100, 6
100, 6
100, 5
100, 5
100, 4
100, 9
100, 8
100, 8
100, 8
100, 8
100, 6
100, 5
100, 5
100, 4
100, 4
100, 4
100, 3
100, 3
100, 4
100, 4
100, 4
100, 5
100, 4
100, 4
100, 5
100, 6
100, 5
100, 4
100, 4
100, 3
100, 3
100, 3
100, 5
100, 5
100, 5
100, 4
100, 5
100, 5
100, 3
100, 3
100, 3
100, 3
100, 4
100, 5
100, 5
100, 4
100, 5
100, 5
100, 4
100, 4
100, 5
100, 3
100, 3
100, 3
100, 4
100, 4
100, 5
100, 6
100, 6
100, 5
100, 8
100, 7
100, 6
100, 4
100, 4
100, 4
100, 4
100, 5
100, 5
100, 6
100, 6
100, 4
100, 3
100, 6
100, 7
100, 7
100, 8
100, 7
100, 5
100, 5
100, 5
100, 3
100, 4
100, 6
100, 6
100, 6
100, 6
100, 6
100, 7
100, 7
100, 7
100, 4
100, 4
100, 3
100, 7
100, 8
100, 7
100, 7
100, 7
100, 5
100, 5
100, 5
100, 4
100, 4
100, 4
100, 6
100, 6
100, 6
100, 6
